u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,1.2841,1.5000,-0.1533,-0.1197,28.5849,-6.5337,0.0000,0.1483,0.1483,0.1176,0.0000,0.0000,-0.0725,-0.0290
0.1296,1.4275,1.5000,-0.1617,-0.1197,28.7039,-6.5822,0.0000,0.1567,0.1567,0.1052,0.0000,0.0000,-0.0725,-0.0290
0.0588,1.4776,1.5000,-0.1701,-0.1197,28.8408,-6.6322,0.0000,0.1717,0.1717,0.0938,0.0000,0.0000,-0.0725,-0.0290
0.2000,1.2785,1.5000,-0.1785,-0.1197,28.9793,-6.6892,0.0000,0.1811,0.1811,0.0826,0.0000,0.0000,-0.0725,-0.0290
0.1098,1.4460,1.5000,-0.1869,-0.1338,29.1125,-6.7441,0.0000,0.1937,0.1937,0.1039,0.0000,0.0000,-0.0811,-0.0324
0.0426,1.4874,1.5000,-0.1953,-0.1338,29.2293,-6.8024,0.0000,0.1972,0.1972,0.0882,0.0000,0.0000,-0.0811,-0.0324
0.1251,1.4317,1.5000,-0.2037,-0.1338,29.3521,-6.8658,0.0000,0.1991,0.1991,0.0725,0.0000,0.0000,-0.0811,-0.0324
0.2000,1.3019,1.5000,-0.2121,-0.1338,29.4717,-6.9274,0.0000,0.2010,0.2010,0.0553,0.0000,0.0000,-0.0811,-0.0324
0.1995,1.3774,1.5000,-0.2205,-0.1715,29.5986,-6.9931,0.0000,0.2023,0.2023,0.0325,0.0000,0.0000,-0.1043,-0.0417
0.2000,1.3403,1.5000,-0.2288,-0.1715,29.7144,-7.0680,0.0000,0.1901,0.1901,0.0144,0.0000,0.0000,-0.1043,-0.0417
0.1481,1.4229,1.5000,-0.2372,-0.1715,29.8338,-7.1387,0.0000,0.1832,0.1832,-0.0046,0.0000,0.0000,-0.1043,-0.0417
0.1933,1.3798,1.5000,-0.2456,-0.1715,29.9405,-7.2218,0.0000,0.1594,0.1594,-0.0243,0.0000,0.0000,-0.1043,-0.0417
0.1998,1.3843,1.5000,-0.2540,-0.1882,30.0526,-7.3083,0.0000,0.1436,0.1436,0.0279,0.0000,0.0000,-0.1147,-0.0459
0.1999,1.3598,1.5000,-0.2624,-0.1882,30.1730,-7.3972,0.0000,0.1319,0.1319,0.0045,0.0000,0.0000,-0.1147,-0.0459
0.1367,1.4209,1.5000,-0.2569,-0.1882,30.2865,-7.4854,0.0000,0.1172,0.1172,-0.0169,0.0000,0.0000,-0.1147,-0.0459
0.0366,1.4997,1.5000,-0.2485,-0.1882,30.3897,-7.5710,0.0000,0.0993,0.0993,-0.0384,0.0000,0.0000,-0.1147,-0.0459
0.0704,1.4393,1.5000,-0.2569,-0.2265,30.4901,-7.6613,0.0000,0.0746,0.0746,-0.0710,0.0000,0.0000,-0.1389,-0.0555
0.1825,1.3443,1.5000,-0.2485,-0.2265,30.5702,-7.7562,0.0000,0.0352,0.0352,-0.0922,0.0000,0.0000,-0.1389,-0.0555
0.1873,1.3563,1.5000,-0.2401,-0.2265,30.6780,-7.8522,0.0000,0.0093,0.0093,-0.1130,0.0000,0.0000,-0.1389,-0.0555
