u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,1.6726,1.9120,-0.0074,0.0288,18.9751,-82.8456,-3.3250,0.0020,0.0020,0.0261,0.0000,0.0000,0.0174,0.0070
0.2003,1.8082,1.9140,-0.0140,0.0288,18.7699,-82.8074,-3.3252,0.0074,0.0074,0.0260,0.0000,0.0000,0.0174,0.0070
0.1737,1.8653,1.9147,-0.0207,0.0279,18.5710,-82.7635,-3.3254,0.0051,0.0051,0.0211,0.0000,0.0000,0.0168,0.0067
-0.0698,2.0878,1.9110,-0.0274,0.0279,18.3704,-82.7279,-3.3264,0.0110,0.0110,0.0201,0.0000,0.0000,0.0168,0.0067
-0.1615,2.0365,1.9090,-0.0243,0.0243,18.1671,-82.6845,-3.3274,0.0089,0.0089,0.0065,0.0000,0.0000,0.0147,0.0059
-0.1843,2.0371,1.9072,-0.0176,0.0243,17.9743,-82.6442,-3.3304,0.0062,0.0062,0.0035,0.0000,0.0000,0.0147,0.0059
-0.2000,2.0778,1.9049,-0.0109,0.0243,17.7678,-82.5948,-3.3354,-0.0028,-0.0028,-0.0015,0.0000,0.0000,0.0147,0.0059
-0.1135,1.9701,1.9050,-0.0080,0.0206,17.5653,-82.5526,-3.3395,-0.0080,-0.0080,-0.0189,0.0000,0.0000,0.0124,0.0050
-0.1997,2.1237,1.9021,-0.0013,0.0206,17.3477,-82.5118,-3.3434,-0.0094,-0.0094,-0.0228,0.0000,0.0000,0.0124,0.0050
-0.1207,2.0684,1.9105,0.0028,0.0180,17.1360,-82.4616,-3.3457,-0.0223,-0.0223,-0.0333,0.0000,0.0000,0.0108,0.0043
-0.2000,2.2151,1.9155,0.0095,0.0180,16.9292,-82.4183,-3.3474,-0.0298,-0.0298,-0.0350,0.0000,0.0000,0.0108,0.0043
-0.1998,2.1776,1.9204,0.0114,0.0133,16.7162,-82.3704,-3.3476,-0.0413,-0.0413,-0.0440,0.0000,0.0000,0.0080,0.0032
-0.2000,2.1155,1.9254,0.0181,0.0133,16.4968,-82.3330,-3.3479,-0.0428,-0.0428,-0.0442,0.0000,0.0000,0.0080,0.0032
-0.2000,2.1869,1.9286,0.0248,0.0133,16.2868,-82.2931,-3.3473,-0.0483,-0.0483,-0.0437,0.0000,0.0000,0.0080,0.0032
-0.2000,2.2284,1.9308,0.0302,0.0119,16.0778,-82.2487,-3.3459,-0.0603,-0.0603,-0.0510,0.0000,0.0000,0.0072,0.0029
-0.2000,2.1398,1.9339,0.0368,0.0119,15.8649,-82.2041,-3.3429,-0.0718,-0.0718,-0.0479,0.0000,0.0000,0.0072,0.0029
-0.2000,2.1380,1.9366,0.0428,0.0113,15.6558,-82.1650,-3.3402,-0.0800,-0.0800,-0.0558,0.0000,0.0000,0.0068,0.0027
-0.2000,2.1750,1.9383,0.0495,0.0113,15.4355,-82.1251,-3.3370,-0.0882,-0.0882,-0.0526,0.0000,0.0000,0.0068,0.0027
-0.2003,2.1278,1.9470,0.0537,0.0088,15.2154,-82.0775,-3.3331,-0.1046,-0.1046,-0.0558,0.0000,0.0000,0.0053,0.0021
-0.2000,2.2375,1.9538,0.0604,0.0088,14.9910,-82.0451,-3.3268,-0.1064,-0.1064,-0.0495,0.0000,0.0000,0.0053,0.0021
-0.2000,2.2494,1.9599,0.0639,0.0055,14.7748,-82.0074,-3.3217,-0.1148,-0.1148,-0.0512,0.0000,0.0000,0.0033,0.0013
-0.2000,2.2678,1.9650,0.0705,0.0055,14.5495,-81.9729,-3.3133,-0.1200,-0.1200,-0.0428,0.0000,0.0000,0.0033,0.0013
-0.2000,2.1935,1.9696,0.0772,0.0055,14.3267,-81.9354,-3.3076,-0.1285,-0.1285,-0.0371,0.0000,0.0000,0.0033,0.0013
-0.2000,2.2806,1.9733,0.0830,0.0046,14.1060,-81.9111,-3.2981,-0.1251,-0.1251,-0.0309,0.0000,0.0000,0.0028,0.0011
-0.2000,2.2581,1.9765,0.0858,0.0046,13.8908,-81.8799,-3.2920,-0.1290,-0.1290,-0.0248,0.0000,0.0000,0.0028,0.0011
-0.2000,2.2232,1.9794,0.0793,0.0013,13.6684,-81.8494,-3.2842,-0.1320,-0.1320,-0.0201,0.0000,0.0000,0.0008,0.0003
-0.2000,2.1760,1.9820,0.0733,0.0013,13.4507,-81.8334,-3.2722,-0.1213,-0.1213,-0.0082,0.0000,0.0000,0.0008,0.0003
-0.2000,2.2458,1.9839,0.0666,-0.0040,13.2288,-81.8118,-3.2623,-0.1162,-0.1162,-0.0049,0.0000,0.0000,-0.0024,-0.0010
-0.2000,2.1890,1.9858,0.0599,-0.0040,13.0016,-81.7957,-3.2525,-0.1060,-0.1060,0.0048,0.0000,0.0000,-0.0024,-0.0010
-0.2000,2.2341,1.9879,0.0534,-0.0039,12.7930,-81.7777,-3.2441,-0.0998,-0.0998,0.0133,0.0000,0.0000,-0.0023,-0.0009
-0.2000,2.2820,1.9896,0.0467,-0.0039,12.5665,-81.7659,-3.2337,-0.0853,-0.0853,0.0237,0.0000,0.0000,-0.0023,-0.0009
-0.1486,2.0957,1.9911,0.0400,-0.0039,12.3616,-81.7532,-3.2288,-0.0743,-0.0743,0.0286,0.0000,0.0000,-0.0023,-0.0009
-0.2000,2.2713,1.9908,0.0345,-0.0028,12.1777,-81.7512,-3.2218,-0.0558,-0.0558,0.0309,0.0000,0.0000,-0.0017,-0.0007
-0.1006,2.0521,1.9921,0.0278,-0.0028,12.0193,-81.7383,-3.2167,-0.0510,-0.0510,0.0360,0.0000,0.0000,-0.0017,-0.0007
0.0973,1.8402,1.9933,0.0211,-0.0028,11.8901,-81.7311,-3.2131,-0.0438,-0.0438,0.0395,0.0000,0.0000,-0.0017,-0.0007
0.2000,1.5883,1.9943,0.0144,-0.0034,11.7930,-81.7277,-3.2102,-0.0366,-0.0366,0.0400,0.0000,0.0000,-0.0020,-0.0008
0.1999,1.2935,1.9952,0.0077,-0.0034,11.7181,-81.7243,-3.2090,-0.0318,-0.0318,0.0412,0.0000,0.0000,-0.0020,-0.0008
