"u_a","v_real","v_ref","u_delta","delta_d","px","py","theta1","cte","cte_real","epsi","vx","vy","kappa","beta"
0.0001,1.6867,1.6883,-0.0423,-0.0381,17.5206,1.6181,0,0.0644,0.0644,0.0594,1.6859,-0.0505,-0.023,-0.0092
0.0002,1.6867,1.6881,-0.0489,-0.0381,17.6892,1.6123,0,0.0737,0.0737,0.0551,1.6857,-0.0577,-0.023,-0.0092
0.0005,1.6867,1.688,-0.0556,-0.0381,17.8577,1.6057,0,0.0821,0.0821,0.0501,1.6854,-0.0661,-0.023,-0.0092
0.0004,1.6868,1.6878,-0.0531,-0.029,18.0262,1.5981,0,0.0912,0.0912,0.0554,1.6851,-0.0756,-0.0175,-0.007
0.0003,1.6868,1.6877,-0.0598,-0.029,18.1947,1.5896,0,0.0996,0.0996,0.05,1.6847,-0.0848,-0.0175,-0.007
0.0003,1.6868,1.6876,-0.0665,-0.029,18.3631,1.5801,0,0.107,0.107,0.044,1.6842,-0.095,-0.0175,-0.007
0.0003,1.6869,1.6875,-0.0702,-0.0261,18.5315,1.5695,0,0.1155,0.1155,0.0519,1.6835,-0.1064,-0.0157,-0.0063
0.0001,1.6869,1.6874,-0.0769,-0.0261,18.6997,1.5577,0,0.1231,0.1231,0.0447,1.6827,-0.1184,-0.0157,-0.0063
0,1.6869,1.6873,-0.0836,-0.0261,18.8679,1.5445,0,0.1293,0.1293,0.0369,1.6818,-0.1316,-0.0157,-0.0063
-0.0001,1.6869,1.6872,-0.0835,-0.0193,19.036,1.5299,0,0.1358,0.1358,0.0393,1.6806,-0.1459,-0.0116,-0.0046
-0.0001,1.6869,1.6871,-0.0902,-0.0193,19.2039,1.5139,0,0.141,0.141,0.0308,1.6793,-0.1602,-0.0116,-0.0046
-0.0001,1.6869,1.6871,-0.0969,-0.0193,19.3717,1.4963,0,0.1446,0.1446,0.0216,1.6777,-0.1756,-0.0116,-0.0046
-0.0001,1.6869,1.6871,-0.0999,-0.0156,19.5393,1.4771,0,0.1474,0.1474,0.0165,1.6759,-0.1922,-0.0094,-0.0038
-0.0001,1.6869,1.687,-0.0932,-0.0156,19.7067,1.4562,0,0.1484,0.1484,0.0064,1.6738,-0.2093,-0.0094,-0.0038
0,1.6869,1.687,-0.0882,-0.0156,19.8738,1.4337,0,0.1479,0.1479,-0.0031,1.6718,-0.2251,-0.0094,-0.0038
0,1.6869,1.687,-0.0831,-0.015,20.0408,1.4096,0,0.1462,0.1462,-0.0099,1.6697,-0.2402,-0.009,-0.0036
0,1.6869,1.687,-0.0765,-0.015,20.2076,1.3842,0,0.1431,0.1431,-0.0184,1.6676,-0.2543,-0.009,-0.0036
0,1.6869,1.687,-0.0734,-0.015,20.3741,1.3575,0,0.1388,0.1388,-0.0196,1.6656,-0.2673,-0.0091,-0.0036
0,1.6869,1.6869,-0.0667,-0.015,20.5405,1.3295,0,0.1342,0.1342,-0.0271,1.6635,-0.2797,-0.0091,-0.0036
