u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,1.0323,1.4201,0.0437,-0.0028,18.1070,-5.0434,0.0000,-0.0385,-0.0385,-0.0359,0.0000,0.0000,-0.0017,-0.0007,0.0105
0.2000,1.0916,1.4401,0.0353,-0.0259,18.2365,-5.0523,0.0000,-0.0384,-0.0384,-0.0063,0.0000,0.0000,-0.0156,-0.0062,0.0181
0.2000,1.2346,1.4601,0.0269,-0.0259,18.3498,-5.0488,0.0000,-0.0253,-0.0253,-0.0036,0.0000,0.0000,-0.0156,-0.0062,0.0259
0.2000,1.2875,1.4801,0.0185,-0.0259,18.4859,-5.0545,0.0000,-0.0196,-0.0196,0.0022,0.0000,0.0000,-0.0156,-0.0062,0.0338
0.2000,1.1258,1.5001,0.0000,-0.0259,18.6053,-5.0524,0.0000,-0.0075,-0.0075,0.0036,0.0000,0.0000,-0.0156,-0.0062,0.0402
0.2000,1.3513,1.5201,-0.0031,-0.0206,18.7317,-5.0568,0.0000,-0.0010,-0.0010,0.0139,0.0000,0.0000,-0.0124,-0.0050,0.0331
0.2000,1.1850,1.5401,-0.0115,-0.0206,18.8546,-5.0631,0.0000,0.0038,0.0038,0.0139,0.0000,0.0000,-0.0124,-0.0050,0.0251
0.2000,1.2558,1.5601,-0.0199,-0.0206,18.9950,-5.0747,0.0000,0.0048,0.0048,0.0155,0.0000,0.0000,-0.0124,-0.0050,0.0178
0.2000,1.2193,1.5801,-0.0283,-0.0206,19.1154,-5.0828,0.0000,0.0075,0.0075,0.0127,0.0000,0.0000,-0.0124,-0.0050,0.0084
0.2000,1.3975,1.6001,-0.0367,-0.0206,19.2433,-5.0780,0.0000,0.0238,0.0238,0.0094,0.0000,0.0000,-0.0124,-0.0050,-0.0012
0.2000,1.1959,1.6201,-0.0370,-0.0293,19.3924,-5.0849,0.0000,0.0283,0.0283,-0.0201,0.0000,0.0000,-0.0176,-0.0071,-0.0092
0.2000,1.2670,1.6401,-0.0286,-0.0293,19.5298,-5.0901,0.0000,0.0315,0.0315,-0.0240,0.0000,0.0000,-0.0176,-0.0071,-0.0154
0.2000,1.4805,1.6601,-0.0202,-0.0293,19.6683,-5.1056,0.0000,0.0246,0.0246,-0.0288,0.0000,0.0000,-0.0176,-0.0071,-0.0253
0.2000,1.3627,1.6801,-0.0118,-0.0293,19.8051,-5.1098,0.0000,0.0288,0.0288,-0.0345,0.0000,0.0000,-0.0176,-0.0071,-0.0328
0.2000,1.3824,1.7001,-0.0112,-0.0203,19.9493,-5.1195,0.0000,0.0300,0.0300,-0.0088,0.0000,0.0000,-0.0122,-0.0049,-0.0342
0.2000,1.3554,1.7201,-0.0149,-0.0203,20.0917,-5.1311,0.0000,0.0314,0.0314,-0.0121,0.0000,0.0000,-0.0122,-0.0049,-0.0277
0.2000,1.4324,1.7401,-0.0185,-0.0203,20.2515,-5.1448,0.0000,0.0324,0.0324,-0.0105,0.0000,0.0000,-0.0122,-0.0049,-0.0199
0.2000,1.4159,1.7601,-0.0208,-0.0310,20.4180,-5.1596,0.0000,0.0320,0.0320,-0.0411,0.0000,0.0000,-0.0187,-0.0075,-0.0118
0.2000,1.5911,1.7801,-0.0124,-0.0310,20.5678,-5.1738,0.0000,0.0273,0.0273,-0.0431,0.0000,0.0000,-0.0187,-0.0075,-0.0100
0.2000,1.6573,1.8001,-0.0040,-0.0310,20.7481,-5.1880,0.0000,0.0246,0.0246,-0.0451,0.0000,0.0000,-0.0187,-0.0075,-0.0126
0.2000,1.4910,1.8201,0.0044,-0.0038,20.9210,-5.2084,0.0000,0.0159,0.0159,0.0113,0.0000,0.0000,-0.0023,-0.0009,-0.0166
0.2000,1.7939,1.8401,-0.0040,-0.0038,21.0955,-5.2217,0.0000,0.0242,0.0242,0.0112,0.0000,0.0000,-0.0023,-0.0009,-0.0185
0.2000,1.7255,1.8601,-0.0124,-0.0038,21.2728,-5.2241,0.0000,0.0436,0.0436,0.0105,0.0000,0.0000,-0.0023,-0.0009,-0.0122
0.2000,1.7352,1.8801,-0.0208,-0.0038,21.4322,-5.2313,0.0000,0.0562,0.0562,0.0101,0.0000,0.0000,-0.0023,-0.0009,-0.0045
0.2000,1.7578,1.9001,-0.0292,-0.0107,21.5937,-5.2440,0.0000,0.0630,0.0630,0.0072,0.0000,0.0000,-0.0064,-0.0026,0.0032
0.2000,1.5819,1.9201,-0.0376,-0.0107,21.7867,-5.2593,0.0000,0.0710,0.0710,0.0065,0.0000,0.0000,-0.0064,-0.0026,-0.0012
0.2000,1.6066,1.9401,-0.0460,-0.0107,21.9442,-5.2760,0.0000,0.0734,0.0734,0.0013,0.0000,0.0000,-0.0064,-0.0026,-0.0084
0.2001,1.9195,1.9601,-0.0544,-0.0444,22.1288,-5.2916,0.0000,0.0782,0.0782,-0.0125,0.0000,0.0000,-0.0268,-0.0107,-0.0166
0.2000,1.5705,1.9801,-0.0542,-0.0444,22.3272,-5.3202,0.0000,0.0713,0.0713,-0.0169,0.0000,0.0000,-0.0268,-0.0107,-0.0224
0.2000,1.8360,2.0000,-0.0494,-0.0444,22.5015,-5.3367,0.0000,0.0738,0.0738,-0.0247,0.0000,0.0000,-0.0268,-0.0107,-0.0324
0.0197,1.9885,2.0000,-0.0497,-0.0363,22.6774,-5.3428,0.0000,0.0892,0.0892,-0.0176,0.0000,0.0000,-0.0219,-0.0087,-0.0405
0.1997,1.7346,2.0000,-0.0490,-0.0363,22.8524,-5.3605,0.0000,0.0936,0.0936,-0.0237,0.0000,0.0000,-0.0219,-0.0087,-0.0520
0.2000,1.7414,2.0000,-0.0452,-0.0363,23.0448,-5.3779,0.0000,0.1003,0.1003,-0.0320,0.0000,0.0000,-0.0219,-0.0087,-0.0555
0.2000,1.7424,2.0000,-0.0536,-0.0894,23.2369,-5.3956,0.0000,0.1053,0.1053,-0.0536,0.0000,0.0000,-0.0540,-0.0216,-0.0518
0.1729,1.9101,2.0000,-0.0452,-0.0894,23.4264,-5.4237,0.0000,0.0986,0.0986,-0.0650,0.0000,0.0000,-0.0540,-0.0216,-0.0516
0.1637,1.9101,2.0000,-0.0368,-0.0894,23.6083,-5.4533,0.0000,0.0895,0.0895,-0.0751,0.0000,0.0000,-0.0540,-0.0216,-0.0506
0.1588,1.9101,2.0000,-0.0284,-0.0492,23.8024,-5.4813,0.0000,0.0852,0.0852,-0.0635,0.0000,0.0000,-0.0296,-0.0119,-0.0422
0.2000,1.8274,2.0000,-0.0200,-0.0492,23.9934,-5.5067,0.0000,0.0851,0.0851,-0.0736,0.0000,0.0000,-0.0296,-0.0119,-0.0527
0.1348,1.9428,2.0000,-0.0116,-0.0492,24.1958,-5.5409,0.0000,0.0778,0.0778,-0.0788,0.0000,0.0000,-0.0296,-0.0119,-0.0462
0.1563,1.9078,2.0000,-0.0200,-0.0918,24.3810,-5.5774,0.0000,0.0665,0.0665,-0.0775,0.0000,0.0000,-0.0555,-0.0222,-0.0377
