u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,1.0479,1.4422,0.0096,0.0590,62.5388,143.5279,0.0000,0.0331,0.0331,0.0008,0.0000,0.0000,0.0356,0.0142,-0.0206
0.2000,1.1153,1.4622,0.0020,0.0430,62.6521,143.5320,0.0000,0.0378,0.0378,-0.0054,0.0000,0.0000,0.0259,0.0104,-0.0123
0.1999,1.0214,1.4822,0.0104,0.0430,62.7596,143.5391,0.0000,0.0455,0.0455,-0.0023,0.0000,0.0000,0.0259,0.0104,-0.0042
0.1999,1.1231,1.5022,0.0112,0.0430,62.8711,143.5529,0.0000,0.0600,0.0600,0.0008,0.0000,0.0000,0.0259,0.0104,0.0035
0.1999,1.0688,1.5222,0.0128,0.0430,63.0106,143.5439,0.0000,0.0514,0.0514,0.0034,0.0000,0.0000,0.0259,0.0104,0.0101
0.1999,1.1143,1.5422,0.0044,0.0260,63.1297,143.5505,0.0000,0.0578,0.0578,-0.0126,0.0000,0.0000,0.0157,0.0063,0.0046
0.1999,1.3861,1.5622,0.0047,0.0260,63.2494,143.5586,0.0000,0.0635,0.0635,-0.0085,0.0000,0.0000,0.0157,0.0063,0.0113
0.1999,1.1823,1.5822,0.0058,0.0260,63.3828,143.5626,0.0000,0.0666,0.0666,-0.0077,0.0000,0.0000,0.0157,0.0063,0.0123
0.1999,1.1906,1.6022,0.0045,0.0260,63.5027,143.5700,0.0000,0.0720,0.0720,-0.0070,0.0000,0.0000,0.0157,0.0063,0.0129
0.2000,1.3230,1.6222,0.0010,0.0143,63.6506,143.5674,0.0000,0.0636,0.0636,-0.0235,0.0000,0.0000,0.0086,0.0034,0.0062
0.2000,1.1910,1.6422,0.0089,0.0143,63.7651,143.5764,0.0000,0.0705,0.0705,-0.0232,0.0000,0.0000,0.0086,0.0034,0.0063
0.2000,1.4669,1.6622,0.0130,0.0143,63.8939,143.5775,0.0000,0.0643,0.0643,-0.0224,0.0000,0.0000,0.0086,0.0034,0.0068
0.2000,1.1386,1.6822,0.0158,0.0143,64.0383,143.5829,0.0000,0.0681,0.0681,-0.0239,0.0000,0.0000,0.0086,0.0034,0.0053
0.2000,1.2766,1.7022,0.0074,-0.0112,64.1733,143.5933,0.0000,0.0696,0.0696,-0.0488,0.0000,0.0000,-0.0067,-0.0027,0.0034
0.2000,1.4334,1.7222,0.0140,-0.0112,64.3230,143.6030,0.0000,0.0686,0.0686,-0.0445,0.0000,0.0000,-0.0067,-0.0027,0.0099
0.2000,1.3426,1.7422,0.0144,-0.0112,64.4723,143.5999,0.0000,0.0608,0.0608,-0.0407,0.0000,0.0000,-0.0067,-0.0027,0.0136
0.2000,1.4875,1.7622,0.0114,-0.0115,64.6125,143.6152,0.0000,0.0659,0.0659,-0.0377,0.0000,0.0000,-0.0069,-0.0028,0.0159
0.2000,1.4806,1.7822,0.0073,-0.0115,64.7509,143.6369,0.0000,0.0805,0.0805,-0.0378,0.0000,0.0000,-0.0069,-0.0028,0.0092
0.2000,1.3985,1.8022,0.0044,-0.0115,64.9038,143.6358,0.0000,0.0741,0.0741,-0.0340,0.0000,0.0000,-0.0069,-0.0028,0.0139
0.2000,1.3913,1.8222,0.0128,0.0035,65.0478,143.6356,0.0000,0.0664,0.0664,-0.0310,0.0000,0.0000,0.0021,0.0008,0.0147
0.2000,1.5158,1.8422,0.0132,0.0035,65.1876,143.6517,0.0000,0.0733,0.0733,-0.0301,0.0000,0.0000,0.0021,0.0008,0.0123
0.2000,1.4278,1.8622,0.0133,0.0035,65.3456,143.6603,0.0000,0.0747,0.0747,-0.0304,0.0000,0.0000,0.0021,0.0008,0.0088
0.2000,1.3955,1.8822,0.0049,-0.0082,65.4988,143.6720,0.0000,0.0793,0.0793,-0.0344,0.0000,0.0000,-0.0049,-0.0020,0.0063
0.2000,1.5686,1.9022,0.0024,-0.0082,65.6542,143.6793,0.0000,0.0761,0.0761,-0.0298,0.0000,0.0000,-0.0049,-0.0020,0.0128
0.2000,1.5244,1.9222,-0.0001,-0.0082,65.8193,143.6867,0.0000,0.0758,0.0758,-0.0273,0.0000,0.0000,-0.0049,-0.0020,0.0135
0.1999,1.5423,1.9422,0.0052,-0.0112,65.9645,143.7034,0.0000,0.0787,0.0787,-0.1024,0.0000,0.0000,-0.0068,-0.0027,0.0137
0.1999,1.6390,1.9622,0.0135,-0.0112,66.1288,143.7004,0.0000,0.0477,0.0477,-0.1041,0.0000,0.0000,-0.0068,-0.0027,0.0074
0.1999,1.4490,1.9822,0.0219,-0.0112,66.2884,143.7185,0.0000,0.0539,0.0539,-0.1048,0.0000,0.0000,-0.0068,-0.0027,0.0045
0.2000,1.6294,2.0000,0.0303,0.0039,66.4908,143.7483,0.0000,0.0504,0.0504,-0.0741,0.0000,0.0000,0.0023,0.0009,0.0022
0.2000,1.5933,2.0000,0.0387,0.0039,66.6791,143.7694,0.0000,0.0533,0.0533,-0.0721,0.0000,0.0000,0.0023,0.0009,0.0067
