%time,field.header.seq,field.header.stamp,field.header.frame_id,field.LLH.x,field.LLH.y,field.LLH.z,field.HorSpeed,field.SpeedDir,field.VerSpeed
1778036385266052727,12488,1778036385265366420,F2008915,24.7888894,120.998349324,103.845,0.38999998569488525,121.70999908447266,0.009999999776482582
1778036385266297048,12489,1778036385265416045,F2008915,24.7888894,120.998349324,103.845,0.38999998569488525,121.70999908447266,0.009999999776482582
1778036385304115370,12490,1778036385303151942,F2008915,24.7888894,120.998349324,103.845,0.38999998569488525,121.70999908447266,0.009999999776482582
1778036385304135830,12491,1778036385303307526,F2008915,24.7888894,120.998349324,103.845,0.38999998569488525,121.70999908447266,0.009999999776482582
1778036385304146203,12492,1778036385303413902,F2008915,24.78888747,120.998350233,103.34,0.38999998569488525,121.70999908447266,0.009999999776482582
1778036385304174086,12493,1778036385303562509,F2008915,24.78888747,120.998350233,103.34,0.3400000035762787,107.47000122070312,0.17000000178813934
1778036385337541525,12494,1778036385336773575,F2008915,24.78888747,120.998350233,103.34,0.3400000035762787,107.47000122070312,0.17000000178813934
1778036385337561623,12495,1778036385336899704,F2008915,24.78888747,120.998350233,103.34,0.3400000035762787,107.47000122070312,0.17000000178813934
1778036385337575052,12496,1778036385336983908,F2008915,24.78888747,120.998350233,103.34,0.3400000035762787,107.47000122070312,0.17000000178813934
1778036385374816684,12497,1778036385374460369,F2008915,24.788885986,120.998351715,103.087,0.3400000035762787,107.47000122070312,0.17000000178813934
1778036385374837870,12500,1778036385374592596,F2008915,24.788885986,120.998351715,103.087,0.3199999928474426,129.94000244140625,0.10000000149011612
1778036385409071952,12501,1778036385408258400,F2008915,24.788885986,120.998351715,103.087,0.3199999928474426,129.94000244140625,0.10000000149011612
1778036385409148906,12502,1778036385408393684,F2008915,24.788885986,120.998351715,103.087,0.3199999928474426,129.94000244140625,0.10000000149011612
1778036385409159412,12503,1778036385408495003,F2008915,24.788882146,120.998352487,102.331,0.3199999928474426,129.94000244140625,0.10000000149011612
1778036385446810862,12504,1778036385445956843,F2008915,24.788882146,120.998352487,102.331,0.3199999928474426,128.97000122070312,0.14000000059604645
1778036385446820957,12505,1778036385446081771,F2008915,24.788882146,120.998352487,102.331,0.3199999928474426,128.97000122070312,0.14000000059604645
1778036385446827709,12506,1778036385446221165,F2008915,24.788882146,120.998352487,102.331,0.3199999928474426,128.97000122070312,0.14000000059604645
1778036385447059070,12507,1778036385446314967,F2008915,24.788881762,120.998352551,102.369,0.3199999928474426,128.97000122070312,0.14000000059604645
1778036385483851660,12508,1778036385483656881,F2008915,24.788881762,120.998352551,102.369,0.36000001430511475,127.54000091552734,0.3700000047683716
1778036385483940893,12509,1778036385483718876,F2008915,24.788881762,120.998352551,102.369,0.36000001430511475,127.54000091552734,0.3700000047683716
1778036385483956893,12510,1778036385483755760,F2008915,24.788881762,120.998352551,102.369,0.36000001430511475,127.54000091552734,0.3700000047683716
1778036385484078818,12511,1778036385483789690,F2008915,24.788881762,120.998352551,102.369,0.36000001430511475,127.54000091552734,0.3700000047683716
1778036385517849963,12512,1778036385517408235,F2008915,24.788881762,120.998352551,102.369,0.36000001430511475,127.54000091552734,0.3700000047683716
1778036385517896047,12513,1778036385517516097,F2008915,24.788882967,120.998353072,102.764,0.3400000035762787,140.25999450683594,0.15000000596046448
1778036385518109935,12514,1778036385517727263,F2008915,24.788882967,120.998353072,102.764,0.3400000035762787,140.25999450683594,0.15000000596046448
1778036385555825539,12515,1778036385555226923,F2008915,24.788882967,120.998353072,102.764,0.3400000035762787,140.25999450683594,0.15000000596046448
1778036385555836682,12516,1778036385555374667,F2008915,24.788882967,120.998353072,102.764,0.3400000035762787,140.25999450683594,0.15000000596046448
1778036385555844776,12517,1778036385555546537,F2008915,24.788882829,120.99835305,102.831,0.3400000035762787,140.25999450683594,0.15000000596046448
1778036385555862335,12518,1778036385555638988,F2008915,24.788882829,120.99835305,102.831,0.2199999988079071,139.05999755859375,-0.07999999821186066
1778036385593004067,12519,1778036385592777038,F2008915,24.788882829,120.99835305,102.831,0.2199999988079071,139.05999755859375,-0.07999999821186066
1778036385593015665,12521,1778036385592829633,F2008915,24.788882829,120.99835305,102.831,0.2199999988079071,139.05999755859375,-0.07999999821186066
1778036385593024518,12522,1778036385592847115,F2008915,24.788882957,120.998352353,102.783,0.2199999988079071,139.05999755859375,-0.07999999821186066
1778036385627059870,12523,1778036385626602499,F2008915,24.788882957,120.998352353,102.783,0.20000000298023224,140.16000366210938,-0.009999999776482582
1778036385627064329,12524,1778036385626718676,F2008915,24.788882957,120.998352353,102.783,0.20000000298023224,140.16000366210938,-0.009999999776482582
1778036385627150232,12525,1778036385626941736,F2008915,24.788882957,120.998352353,102.783,0.20000000298023224,140.16000366210938,-0.009999999776482582
