%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.Temp,field.Vinp,field.Pressure,field.Barometric_Height
1778036278244877845,1329,1778036278244586070,F2008915,-41980.0,-41980.0,-41980.0,0.032284,-0.004352,0.992736,0.13383,-0.525,-0.03793,28.200000762939453,12.100000381469727,101.43000030517578,100412.0
1778036278244890187,1330,1778036278244642349,F2008915,-42060.0,-42060.0,-42060.0,0.014414,0.012983,1.007019,0.04956,-0.45805,0.00218,28.200000762939453,12.140000343322754,101.45999908447266,100412.0
1778036278245343878,1331,1778036278244705393,F2008915,-41830.0,-41830.0,-41830.0,0.026812,-0.018101,0.991379,-0.02231,0.53299,-0.05658,28.200000762939453,12.079999923706055,101.45999908447266,100412.0
1778036278282587126,1332,1778036278282366766,F2008915,-42070.0,-42070.0,-42070.0,0.042332,-0.012322,0.99245,0.17785,0.13555,-0.04172,28.299999237060547,12.079999923706055,101.48999786376953,100412.0
1778036278282596503,1333,1778036278282420596,F2008915,-41920.0,-41920.0,-41920.0,0.023967,0.019622,1.014002,0.07328,-0.27509,0.03422,28.200000762939453,12.079999923706055,101.48999786376953,100412.0
1778036278282601013,1335,1778036278282470942,F2008915,-42150.0,-42150.0,-42150.0,0.03215,-0.016412,0.994145,0.03999,0.00771,0.01546,28.200000762939453,11.970000267028809,101.5199966430664,100412.0
1778036278316607462,1336,1778036278316040163,F2008915,-41910.0,-41910.0,-41910.0,0.023104,0.012719,1.010561,-0.03156,-0.71004,0.07995,28.200000762939453,12.130000114440918,101.48999786376953,100412.0
1778036278316636157,1337,1778036278316136357,F2008915,-41940.0,-41940.0,-41940.0,0.014534,-0.005948,1.004172,-0.10823,0.50472,0.05862,28.299999237060547,12.130000114440918,101.48999786376953,100412.0
1778036278316644340,1338,1778036278316193028,F2008915,-42090.0,-42090.0,-42090.0,0.02975,-0.027034,0.988738,0.02221,0.79653,-0.02546,28.200000762939453,12.100000381469727,101.48999786376953,100412.0
1778036278354231486,1339,1778036278353718791,F2008915,-41980.0,-41980.0,-41980.0,0.030626,0.004045,1.002335,0.11412,-0.32532,0.06496,28.200000762939453,12.130000114440918,101.48999786376953,100412.0
1778036278354275949,1340,1778036278353774979,F2008915,-42190.0,-42190.0,-42190.0,0.009108,0.007668,1.009787,-0.05575,0.21054,0.06955,28.299999237060547,12.0,101.55000305175781,100412.0
1778036278354299642,1341,1778036278353854635,F2008915,-42020.0,-42020.0,-42020.0,0.018797,-0.022402,0.991658,-0.04002,0.25026,0.02275,28.200000762939453,12.119999885559082,101.55000305175781,100412.0
1778036278354335500,1342,1778036278353907662,F2008915,-42020.0,-42020.0,-42020.0,0.028026,-0.005025,0.996199,0.01754,-0.38802,0.02363,28.299999237060547,12.119999885559082,101.61000061035156,100410.0
1778036278387541711,1343,1778036278387335478,F2008915,-42060.0,-42060.0,-42060.0,0.008586,0.007224,1.007828,-0.02515,-0.04915,0.0555,28.200000762939453,12.010000228881836,101.61000061035156,100410.0
1778036278387549119,1344,1778036278387384226,F2008915,-41820.0,-41820.0,-41820.0,0.0197,-0.025603,0.987986,-0.06434,0.94962,-0.02174,28.299999237060547,12.0600004196167,101.61000061035156,100410.0
1778036278387720545,1345,1778036278387420087,F2008915,-42100.0,-42100.0,-42100.0,0.036902,-0.017924,0.987167,0.08496,0.0855,-0.06453,28.299999237060547,12.100000381469727,101.61000061035156,100410.0
