u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta,steer
0.2000,1.1860,1.3001,0.0199,0.0204,54.3629,-61.7849,0.0000,0.0051,0.0051,0.0337,0.0000,0.0000,0.0123,0.0049,0.0000
0.2000,0.8911,1.3201,0.0115,0.0204,54.2457,-61.7973,0.0000,0.0062,0.0062,0.0376,0.0000,0.0000,0.0123,0.0049,0.0000
0.2000,1.0551,1.3401,0.0031,0.0155,54.1455,-61.8097,0.0000,0.0145,0.0145,0.0396,0.0000,0.0000,0.0094,0.0037,0.0000
0.2000,1.0006,1.3601,-0.0053,0.0155,54.0213,-61.8223,0.0000,0.0178,0.0178,0.0415,0.0000,0.0000,0.0094,0.0037,0.0000
0.2000,1.0006,1.3801,-0.0137,0.0155,53.9227,-61.8477,0.0000,0.0375,0.0375,0.0454,0.0000,0.0000,0.0094,0.0037,0.0000
0.2000,1.0006,1.4001,-0.0221,0.0117,53.7957,-61.8613,0.0000,0.0392,0.0392,0.0337,0.0000,0.0000,0.0071,0.0028,0.0000
0.2000,1.0128,1.4201,-0.0304,0.0117,53.6644,-61.8781,0.0000,0.0455,0.0455,0.0336,0.0000,0.0000,0.0071,0.0028,0.0000
0.2000,1.2665,1.4401,-0.0290,0.0217,53.5508,-61.8933,0.0000,0.0547,0.0547,0.0331,0.0000,0.0000,0.0130,0.0052,0.0000
0.2000,1.3123,1.4601,-0.0374,0.0217,53.4395,-61.8995,0.0000,0.0512,0.0512,0.0307,0.0000,0.0000,0.0130,0.0052,0.0000
0.2000,1.1061,1.4801,-0.0458,0.0217,53.3160,-61.9128,0.0000,0.0508,0.0508,0.0281,0.0000,0.0000,0.0130,0.0052,0.0000
0.1999,1.1061,1.5001,-0.0460,0.0217,53.1647,-61.9224,0.0000,0.0460,0.0460,0.0231,0.0000,0.0000,0.0130,0.0052,0.0000
0.2000,1.2309,1.5201,-0.0483,0.0109,53.0385,-61.9411,0.0000,0.0505,0.0505,-0.0003,0.0000,0.0000,0.0066,0.0026,0.0000
0.2000,1.5050,1.5401,-0.0547,-0.0039,52.9029,-61.9533,0.0000,0.0453,0.0453,-0.0063,0.0000,0.0000,-0.0024,-0.0009,0.0000
0.2000,1.2638,1.5601,-0.0463,-0.0039,52.7722,-61.9691,0.0000,0.0467,0.0467,-0.0099,0.0000,0.0000,-0.0024,-0.0009,0.0000
0.2000,1.3500,1.5801,-0.0380,-0.0039,52.6376,-61.9771,0.0000,0.0376,0.0376,-0.0158,0.0000,0.0000,-0.0024,-0.0009,0.0000
0.2000,1.3057,1.6001,-0.0296,-0.0039,52.5164,-61.9862,0.0000,0.0316,0.0316,-0.0218,0.0000,0.0000,-0.0024,-0.0009,0.0000
0.1999,1.3372,1.6201,-0.0258,-0.0085,52.3826,-61.9882,0.0000,0.0156,0.0156,-0.0415,0.0000,0.0000,-0.0051,-0.0021,0.0000
0.2000,1.2060,1.6401,-0.0175,-0.0085,52.2643,-61.9912,0.0000,0.0055,0.0055,-0.0450,0.0000,0.0000,-0.0051,-0.0021,0.0000
0.1999,1.3282,1.6601,-0.0091,-0.0085,52.1291,-61.9898,0.0000,-0.0164,-0.0164,-0.0503,0.0000,0.0000,-0.0051,-0.0021,0.0000
0.2000,1.1748,1.6801,-0.0007,-0.0085,51.9949,-61.9919,0.0000,-0.0283,-0.0283,-0.0540,0.0000,0.0000,-0.0051,-0.0021,0.0000
0.1999,1.3425,1.7001,0.0077,-0.0085,51.8630,-61.9902,0.0000,-0.0504,-0.0504,-0.0570,0.0000,0.0000,-0.0051,-0.0021,0.0000
0.1999,1.3314,1.7201,0.0161,-0.0046,51.7107,-62.0001,0.0000,-0.0590,-0.0590,-0.0610,0.0000,0.0000,-0.0028,-0.0011,0.0000
0.2000,1.3094,1.7401,0.0245,-0.0046,51.5575,-62.0124,0.0000,-0.0639,-0.0639,-0.0607,0.0000,0.0000,-0.0028,-0.0011,0.0000
0.1999,1.5125,1.7601,0.0328,-0.0046,51.4019,-62.0276,0.0000,-0.0709,-0.0709,-0.0592,0.0000,0.0000,-0.0028,-0.0011,0.0000
0.1999,1.5240,1.7801,0.0412,-0.0046,51.2341,-62.0427,0.0000,-0.0738,-0.0738,-0.0560,0.0000,0.0000,-0.0028,-0.0011,0.0000
0.2000,1.5508,1.8001,0.0453,-0.0089,51.0761,-62.0606,0.0000,-0.0735,-0.0735,-0.0568,0.0000,0.0000,-0.0054,-0.0021,0.0000
