x,y,z
352.052,6.549,11.623
351.507,6.073,11.566
350.973,5.580,11.515
350.414,5.080,11.451
349.820,4.569,11.410
349.241,4.086,11.365
348.654,3.573,11.292
348.073,3.058,11.254
347.506,2.535,11.189
346.907,2.023,11.139
346.333,1.510,11.059
345.755,1.009,11.010
345.164,0.492,10.942
344.578,-0.017,10.906
344.000,-0.510,10.831
343.418,-1.022,10.797
342.842,-1.544,10.727
342.276,-2.062,10.695
341.713,-2.569,10.600
341.138,-3.095,10.546
340.587,-3.600,10.518
340.030,-4.098,10.461
339.455,-4.584,10.398
338.902,-5.065,10.334
338.301,-5.539,10.261
337.703,-6.019,10.199
337.088,-6.515,10.144
336.510,-6.999,10.095
335.966,-7.474,10.039
335.405,-7.966,9.976
334.870,-8.437,9.923
334.345,-8.915,9.864
333.847,-9.385,9.840
333.320,-9.844,9.789
332.812,-10.311,9.749
332.295,-10.770,9.728
331.737,-11.238,9.675
331.191,-11.715,9.638
330.628,-12.174,9.581
330.136,-12.657,9.604
329.621,-13.105,9.579
329.096,-13.576,9.450
328.575,-14.051,9.466
328.015,-14.540,9.380
327.484,-15.028,9.326
326.900,-15.577,9.186
326.317,-16.027,9.181
325.823,-16.550,9.081
325.245,-17.038,8.978
324.674,-17.500,8.990
324.108,-17.946,8.893
323.532,-18.435,8.825
322.965,-18.929,8.786
322.387,-19.433,8.733
321.775,-19.954,8.667
321.164,-20.481,8.616
320.530,-21.018,8.554
319.878,-21.562,8.479
319.231,-22.117,8.439
318.581,-22.667,8.375
317.911,-23.218,8.346
317.271,-23.737,8.265
316.626,-24.313,8.168
315.987,-24.849,8.104
315.345,-25.393,8.080
314.724,-25.957,8.006
314.098,-26.511,7.961
313.484,-27.099,7.900
312.861,-27.654,7.848
312.233,-28.197,7.810
311.604,-28.745,7.754
311.004,-29.301,7.711
310.388,-29.875,7.662
309.750,-30.419,7.623
309.112,-30.977,7.561
308.489,-31.554,7.502
307.895,-32.096,7.444
307.297,-32.655,7.397
306.714,-33.177,7.325
306.122,-33.704,7.303
305.557,-34.233,7.308
304.991,-34.741,7.208
304.429,-35.233,7.169
303.863,-35.753,7.112
303.276,-36.248,7.071
302.694,-36.735,7.041
302.123,-37.242,6.991
301.527,-37.738,6.967
300.947,-38.219,6.876
300.354,-38.726,6.868
299.771,-39.209,6.788
299.195,-39.717,6.739
298.609,-40.192,6.714
298.023,-40.682,6.660
297.441,-41.177,6.614
296.853,-41.664,6.575
296.268,-42.153,6.525
295.671,-42.653,6.489
295.091,-43.141,6.453
294.510,-43.624,6.381
293.919,-44.131,6.382
293.366,-44.631,6.310
292.782,-45.141,6.281
292.180,-45.648,6.198
291.601,-46.152,6.144
291.002,-46.650,6.140
290.421,-47.143,6.104
289.827,-47.638,6.049
289.240,-48.128,6.014
288.656,-48.606,5.977
288.078,-49.100,5.936
287.489,-49.584,5.885
286.893,-50.067,5.822
286.291,-50.570,5.764
285.723,-51.046,5.731
285.138,-51.531,5.667
284.566,-52.004,5.638
283.986,-52.479,5.605
283.423,-52.967,5.585
282.875,-53.438,5.562
282.289,-53.932,5.510
281.663,-54.425,5.480
281.065,-54.901,5.390
280.438,-55.325,5.304
279.994,-55.880,5.211
279.495,-56.005,5.241
278.862,-56.383,5.253
278.205,-56.742,5.201
277.524,-57.061,5.160
276.840,-57.423,5.110
276.096,-57.829,5.001
275.490,-58.160,5.042
274.785,-58.482,4.962
274.093,-58.734,4.944
273.340,-58.949,4.896
272.592,-59.160,4.912
271.851,-59.391,4.892
271.114,-59.595,4.799
270.385,-59.750,4.785
269.636,-59.869,4.720
268.902,-59.989,4.682
268.137,-60.090,4.668
267.379,-60.148,4.619
266.610,-60.212,4.574
265.816,-60.278,4.571
265.046,-60.356,4.501
264.253,-60.459,4.468
263.475,-60.539,4.416
262.708,-60.603,4.400
261.922,-60.690,4.370
261.144,-60.762,4.311
260.331,-60.827,4.273
259.525,-60.886,4.247
258.723,-60.930,4.166
257.937,-61.008,4.090
257.152,-61.039,4.123
256.361,-61.107,4.054
255.573,-61.174,3.943
254.812,-61.262,3.952
254.055,-61.290,3.979
253.260,-61.388,3.865
252.465,-61.483,3.794
251.635,-61.541,3.772
250.828,-61.632,3.727
250.016,-61.706,3.691
249.201,-61.769,3.650
248.404,-61.878,3.558
247.587,-61.955,3.565
246.778,-62.048,3.469
245.973,-62.122,3.459
245.204,-62.201,3.426
244.413,-62.276,3.373
243.626,-62.348,3.326
242.821,-62.437,3.286
242.036,-62.515,3.260
241.278,-62.585,3.206
240.518,-62.663,3.140
239.760,-62.722,3.103
238.992,-62.794,3.104
238.277,-62.844,3.069
237.548,-62.895,3.015
236.880,-62.954,2.994
236.216,-63.008,2.965
235.592,-63.059,2.929
234.989,-63.121,2.899
234.421,-63.174,2.861
233.704,-63.234,2.814
233.097,-63.285,2.790
232.575,-63.318,2.768
232.010,-63.352,2.696
231.478,-63.383,2.704
230.788,-63.426,2.679
230.257,-63.456,2.640
